	attr	count
1792	barcode sequence	265
1793	barcode srna cloning	7
1794	barcode tlda microrna card a	107
1795	barcode tlda microrna card b	107
1796	barcode up or dn tag	39
1797	barcode1	81
1798	barcode2	81
1799	barcoded adapters	2
1800	barcoded replicate	37
1801	barcodes	8
1802	bardcode	6
1803	bariatric surgery	75
1804	bariatric surgery 1 before surgery, 2 after	86
1805	barrett s associated	15
1806	barrett s esophagus	153
1807	barrett s esophagus size	23
1808	barrett's associated	15
1809	barrett's esophagus	153
1810	barrett's esophagus size	23
1811	bart mirna expression	9
1812	bas1 ade16 ade17 knock out mat alpha bas1	4
1813	bas1 knock out mat alpha bas1	4
1814	basal brca1 like pred	11
1815	basal brca1 pred agilent	33
1816	basal media	15
1817	basal strain	5
1818	base calling software version	31
1819	base change	26
1820	base medium	39
1821	basecalling	5
1822	baseline/follow up	51
1823	baseline age years	24
1824	baseline anti a/h1n1 ab titers	881
1825	baseline area under the curve	476
1826	baseline ror p	136
1827	baseline ror s	136
1828	baseline severity nih guideline	686
1829	baseline stage	41
1830	baseline subtype	136
1831	baseline tumor size cm	24
1832	baseline wbc	35
1833	basetms	280
1834	baso	119
1835	baso 10e9/l	48
1836	basophil percent of wbc that are basophils	100
1837	basophils	171
1838	basophils/ul	144
1839	basophils basophils per 10 9 liter/blood	100
1840	basophils x10 9/l	30
1841	basp	119
1842	bat type	5
1843	batch	21691
1844	batch/lot	9
1845	batch/replicate	9
1846	batch 2	63
1847	batch acceptor feed concentration microeeq/l	54
1848	batch barcode	196
1849	batch date	12
1850	batch effect	102
1851	batch effect date	190
1852	batch fermentations with	9
1853	batch group	42
1854	batch id	317
1855	batch infection	17
1856	batch number	85
1857	batch of trees	379
1858	batch replicate	997
1859	batch year	107
1860	batch1	134
1861	batchcovar	215
1862	batches	16
1863	batchid	591
1864	bc accession ids	14
1865	bc tumor stage	21
1866	bcb staininig	12
1867	bcell	2837
1868	bcell cell proportion	185
1869	bcell proportion	86
1870	bcg	123
1871	bcg quantity pcr	178
1872	bcg scar or history	1039
1873	bcg vaccinated	230
1874	bcl2	4
1875	bcl2 break	35
1876	bcl2 expr	224
1877	bcl2 transgene	10
1878	bcl6 break	259
1879	bcl6 expr	224
1880	bclc stage pre ltx	43
1881	bclc staging	284
1882	bcor mutation	26
1883	bcp all subtype	20
1884	bcr	158
1885	bcr abl, t 9 22	208
1886	bcr event	105
1887	bcr free time	51
1888	bcr type	17
1889	bcrfreetime months	105
1890	bcs	49
1891	bd patient	17
1892	bd phase	23
1893	bdc class	346
1894	bddm followup time months	184
1895	bddm status	184
1896	bead chip array sentrix code	34
1897	bead manufacturer	10
1898	bead volume	39
1899	beadchip	350
1900	beadchip barcode	253
1901	beadchip id	73
1902	beadchip position	39
1903	beadchip section	343
1904	beadchip sentrix barcode	109
1905	beadchip slot	73
1906	beadchip well	541
1907	beadchipid	199
1908	beads	11
1909	beads/antibody	5
1910	beads cat	3
1911	beads coated with lps	97
1912	beads vendor	3
1913	beadstrip	237
1914	bean root exudate concentration mg/ml	11
1915	bearing	6
1916	bears sfp1	13
1917	bears the isp prion	13
1918	beck depression inventory total score	382
1919	bedaquiline dose	34
1920	bee type	9
1921	before/after chemotherapy	58
1922	before or after first infliximab treatment	135
1923	before or after therapy	13
1924	behavior	23
1925	behavior at diagnosis	96
1926	behavior at followup	97
1927	behavioral caste	65
1928	behavioral group	21
1929	behavioral performance	46
1930	behavioral phase	3
1931	behavioral phenotype	124
1932	behavioral stimulus	10
1933	behaviour	17
1934	benz a anthracene ng/m3	36
1935	benzene	145
1936	benzo a pyrene ng/m3	36
1937	benzo b fluoranthene ng/m3	36
1938	benzo g, h, i perylene ng/m3	36
1939	benzo k fluoranthene ng/m3	36
1940	ber 1 wt 2 mutation mutation status	85
1941	berlin ards	63
1942	berry density class	34
1943	berry total soluble solids	13
1944	berrydiet	5
1945	best response	124
1946	best response if different	5
1947	best stage	255
1948	bestqc best sample to use when more than 1 array were run on the same subject/brnum	676
1949	bestresponse	25
1950	beta catenin gene ctnnb1	19
1951	beta catenin sequence result	66
1952	beta catenin staining	66
1953	betablockers	98
1954	betac module tertile	121
1955	betal nut	6
1956	betelquid chewing	6
1957	bgus ct	157
1958	bi	273
1959	biallelic aberration/function deletion	103
1960	bicarbonate	17
1961	bilirubin	10
1962	bilirubin/1 0mg/dl	217
1963	bilirubiner	119
1964	bin	355
1965	bin t	264
1966	binary 5y met event	100
1967	binding/selection	10
1968	binding protein	8
1969	binding protein vendor	8
1970	binding site	12
1971	binding sites	8
1972	binet stage	493
1973	bio rep	137
1974	bio replicate	50
1975	bio source name	162
1976	bioage4	694
1977	bioanalyzer results	1777
1978	bioanalyzer rna integrity number	9
1979	biobank	61
1980	biochemical failure y/n	211
1981	biochemical progression bp	84
1982	biochemical recurrence	463
1983	biochemical relapse bcr	740
1984	biofilm	39
1985	biofilm age	58
1986	biofilm type	25
1987	biofluid	23
1988	biol replicate	20
1989	biolgical replicate	26
1990	biologic replicate	28
1991	biological eplicate	18
1992	biological group	250
1993	biological material	15
1994	biological material provider	35
1995	biological rep	264
1996	biological repeat	20
1997	biological repetition	49
1998	biological replica	134
1999	biological replicate	7324
2000	biological replicate number	103
2001	biological replicate within time point for given experiment	44
2002	biological replicates	77
2003	biological replication	25
2004	biological sample	24
2005	biological source	445
2006	biological source of exosomes	26
2007	biological source of exosomes or cells	37
2008	biological sources	9
2009	biological state	37
2010	biomarker	7
2011	biomarker score	165
2012	biomass	17
2013	biomaterial	2132
2014	biomaterial collected by	48
2015	biomaterial provider	3356
2016	biomaterial source	33
2017	biomaterial type	7289
2018	biome	17
2019	bioploc	30
2020	bioproject id	45
2021	biopsied leg	37
2022	biopsy	519
2023	biopsy/resection pair	169
2024	biopsy collection	20
2025	biopsy date mmddyy	179
2026	biopsy day	70
2027	biopsy dimensions	18
2028	biopsy gleason grade	635
2029	biopsy history	997
2030	biopsy label	18
2031	biopsy leg	56
2032	biopsy location	440
2033	biopsy number	22
2034	biopsy punch diameter	13
2035	biopsy site	207
2036	biopsy site grouped	41
2037	biopsy source	7
2038	biopsy taken from	7
2039	biopsy time	447
2040	biopsy timepoint	43
2041	biopsy type	483
2042	biopsy type 1	68
2043	biopsyid	201
2044	biopsytime	78
2045	bioremediation treatment	39
2046	biorep	620
2047	bioreplicate comparison groups batches	208
2048	bioreplicate comparison groups which mutant replicate goes with which wt replicate	49
2049	bioreplicate id	257
2050	biosafety level	2
2051	biosample confirmed diagnosis	115
2052	biosample confirmed sub diagnosis	97
2053	biosample encode accession	3812
2054	biosample id	5
2055	biosample number	45
2056	biosample type	113
2057	bioserotype	112
2058	biosource	226
2059	biosource 1	139
2060	biosource 1 growth condition	24
2061	biosource 1 growth conditon	29
2062	biosource 2	139
2063	biosource 2 growth condition	24
2064	biosource 2 growth conditon	29
2065	biosource 3	139
2066	biosource 3 growth condition	24
2067	biosource 3 growth conditon	29
2068	biosource 4	139
2069	biosource 4 growth condition	24
2070	biosource 4 growth conditon	29
2071	biosource provider	162
2072	biosource type	555
2073	biosourceprovider	185
2074	biosourcetype	788
2075	biospecimen	251
2076	biotechnology	32
2077	biotin labeled crna yield ug	18
2078	biotin reagent	21
2079	biotype	121
2080	biovar	12
2081	biowardrobe id	10
2082	bipolar disorder	143
2083	bipsy site	2
2084	birads	111
2085	bird number	35
2086	birth	267
2087	birth control current use of oral contraceptives	100
2088	birth date	515
2089	birth defects	286
2090	birth outcome sptb 1, term 0	327
2091	birth status	25
2092	birth weight	765
2093	birth weight category	33
2094	birth weight discordance	124
2095	birth weight g	413
2096	birth weight grams	644
2097	birth weight group	336
2098	birth weight kg	330
2099	birth weight lbs	73
2100	birth weight of offspring kg	7
2101	birth weight percentile	17
2102	birth year	9
2103	birthcontrol	120
2104	birthcountry	110
2105	birthday	43
2106	birthing outcome sptl 1, pprom 2, term 3	327
2107	births	41
2108	birthweight	113
2109	birthweight g	181
2110	birthweight kg	21
2111	birthweight percentile	10
2112	bishop hurley, s l, r c zabkiewicz, et al 2001 conifer genetic engineering	25
2113	bisuflite conversion batch	88
2114	bisulfite alu	237
2115	bisulfite batch	157
2116	bisulfite conversion percent	305
2117	bisulfite conversion protocol	315
2118	bisulfite plate	468
2119	bisulfite proc	9
2120	bisulfite treated	5
2121	bisulfite treatment of rna	9
2122	bisulfite well	57
2123	bisulphite 1	154
2124	bisulphite 2	154
2125	bisulphite conversion efficiency log scale	65
2126	bisulphite treatment	13
2127	bkg id	85
2128	bl madrs	22
2129	bl mfi	22
2130	bl probability	224
2131	bl treatment level	17
2132	black	917
2133	blast	891
2134	blast cell percentage	250
2135	blast count	113
2136	blast count, of sample, 1 unavailable	208
2137	blast ratio in bone marrow	25
2138	blast resistance phenotype	148
2139	blast resistance transgene	148
2140	blast staging method	19
2141	blastocyst fish result	52
2142	blastocyst snp microarray result	52
2143	blastocyt ma pgd result	199
2144	blasts	490
2145	blasts pb/dg	23
2146	blasts pb/r	23
2147	blaxter clade	23
2148	bleed date	156
2149	bleeding sympotoms	4
2150	blm mutation	57
2151	block	1688
2152	block age	107
2153	block age at extraction in years	54
2154	block in gpr file	52
2155	block storage	14
2156	blocking	25
2157	blocking protocol	13
2158	blood	132
2159	blood cd4 t cell count cells/ml	53
2160	blood colletion tube type	25
2161	blood culture	7
2162	blood donor	40
2163	blood draw	31
2164	blood draw date	231
2165	blood drawn post bmt	43
2166	blood eosinophil percentage	43
2167	blood ethanol	220
2168	blood fed	31
2169	blood flow	24
2170	blood glucose mg/dl	42
2171	blood group	13
2172	blood hexachlorobenzene ng/g lipid log2 transformed	41
2173	blood island injection at 28 hpf	91
2174	blood lead mug/l log2 transformed	41
2175	blood marker pcbs pcb138 153 180 mug/g crt log2 transformed	41
2176	blood obtained	377
2177	blood p, p dde ng/g lipid log2 transformed	41
2178	blood p, p' dde ng/g lipid log2 transformed	41
2179	blood pcb118 ng/g lipid log2 transformed	41
2180	blood pressure	88
2181	blood processed by	31
2182	blood source	623
2183	blood teq pg teq/g log2 transformed	40
2184	blood type	232
2185	bloodculture result	171
2186	bloom richardson grade	76
2187	bloomington stock center id	418
2188	bm basement membrane thickening	9
2189	bm blast	108
2190	bm blast at diagnosis	75
2191	bm blasts	861
2192	bm event	100
2193	bm sample date	7
2194	bmd	9
2195	bmfs yr	100
2196	bmi	15624
2197	bmi before pregnancy	7
2198	bmi body mass index, kg/m2	36
2199	bmi group	287
2200	bmi kg/m2	218
2201	bmi status	104
2202	bmi1 status	11
2203	bmn grade	376
2204	bmngrd	269
2205	bmnpv infection status	9
2206	bmnpv resistance status	9
2207	bmp4 treated	5
2208	bmp4 treatment	25
2209	bmp6 treatment ng/ml	13
2210	bmt type	61
2211	bmwid	9
2212	body fat before intervention	15
2213	body fat percentage	186
2214	body fluid	76
2215	body location	7
2216	body mass	108
2217	body mass index	1535
2218	body mass index bmi	35
2219	body mass index kg/m2	166
2220	body mass kg	27
2221	body part	71
2222	body position	7
2223	body region	49
2224	body site	682
2225	body size category	30
2226	body surface area	28
2227	body weight	378
2228	body weight g	160
2229	body weight gms	7
2230	body weight vs control average	26
2231	body wt g	97
2232	bodyweight	121
2233	bodyweight g	435
2234	bone	46
2235	bone marrow cell receiver or control strain	49
2236	bone marrow cell source strain	26
2237	bone marrow cells from cx3cr1/gfp c57bl/6 mice were sorted as follows	3
2238	bone marrow donor 1	19
2239	bone marrow donor 2	19
2240	bone marrow fraction	17
2241	bone marrow generated dcs from a ccl17 homozygous mouse	2
2242	bone marrow generated dcs from a heterozygous ccl17 mouse	2
2243	bone marrow involvement	54
2244	bone marrow metastasis	219
2245	bone marrow myeloblast	20
2246	bone marrow recipient	19
2247	bone marrow, female mobm feml total rna received from national human genome research institute was analyzed through bioanalyzer and passed our quality control test the mrna was processed according to	2
2248	bone marrow, male mobm male total rna received from national human genome research institute was analyzed through bioanalyzer and passed our quality control test the mrna was processed according to th	2
2249	bone metastasis	219
2250	bone metastatic potential	15
2251	bone mineral density	156
2252	bone relapses 1 yes, 0 no	287
2253	bontf subtype	23
2254	boost agent	70
2255	boost date	70
2256	boost dose	70
2257	boost route	70
2258	born	119
2259	bortezomib sensitivity	54
2260	bortezomib treatment	7
2261	bos taurus, beef cattle, female, age 4 7 years	2
2262	bos taurus, female, age 4 7 years, tissue	2
2263	bottom hole temperature of deriving production wells	10
2264	bound	19
2265	bovine id	8
2266	bovine tracheae were collected from a slaughterhouse and transported to the laboratory in ice cold physiological salt solution the smooth muscle layer together with adventitia and mucosa was excised f	41
2267	box	67
2268	boyes leaf development stage boyes et al plant cell 2001	49
2269	bp free interval months	84
2270	bpa exposed	8
2271	bpancle	119
2272	bpd i	36
2273	bpd ii	36
2274	bpdiast	119
2275	bpm	48
2276	bpp closest to delivery	10
2277	bpsyst	119
2278	bpv 1 neg/pos	7
2279	braak	129
2280	braak neurofibrillary tangle score	2005
2281	braak stage	1679
2282	braakstage 0 6	64
2283	bracken fern orogastrically or h2o	19
2284	braf	462
2285	braf/kras mutation	86
2286	braf/nras	82
2287	braf/nras mutation	15
2288	braf/ret/ras status braf v600e mutation presence ret ret rearrangement presence, ras ras mutation presence	29
2289	braf delph	50
2290	braf gene	41
2291	braf gene mutation status	71
2292	braf genotype	11
2293	braf inhibitor resistance	11
2294	braf kras mutation	16
2295	braf mutation	659
2296	braf mutation dna	587
2297	braf mutation exon number	587
2298	braf mutation protein	587
2299	braf mutation status	98
2300	braf mutational status	80
2301	braf signaling status	6
2302	braf status	467
2303	braf t1799a mutation	100
2304	braf v600e mutation	66
2305	braf v600e mutation status	23
2306	brafv600e mutation	40
2307	brafv600e mutation status	47
2308	brafyesno	51
2309	brain	24
2310	brain area	81
2311	brain as isolated 1st site of recurrence	223
2312	brain bank	2465
2313	brain bank source	270
2314	brain code	2681
2315	brain dissection	38
2316	brain g	12
2317	brain hemisphere	7
2318	brain hippocampus, female mobr fehi total rna received from national human genome research institute was analyzed through bioanalyzer and passed our quality control test the mrna was processed accordi	2
2319	brain hippocampus, male mobr mahi total rna received from national human genome research institute was analyzed through bioanalyzer and passed our quality control test the mrna was processed according	2
2320	brain homing cell line	4
2321	brain location	578
2322	brain metastasis	66
2323	brain metasteses 0 no, 1 yes	88
2324	brain ph	2815
2325	brain ph at time of freezing	41
2326	brain region	11450
2327	brain region of origin	46
2328	brain section	31
2329	brain status	25
2330	brain tissue	154
2331	brainbank	100
2332	braincode	117
2333	brainid	36
2334	brainweight	88
2335	brassica napus strain	19
2336	brb code 84 patients selection	107
2337	brca genotype	85
2338	brca mut	109
2339	brca mutation	8
2340	brca status	579
2341	brca1/2 mutation	80
2342	brca1 expression	72
2343	brca1 methylation	25
2344	brca1 methylation status	579
2345	brca1 mutation	164
2346	brca1 mutation status	135
2347	brca1 mutation type	32
2348	brca1 promoter methylation	42
2349	brca1 status	61
2350	brca1mut 0 no, 1 yes	61
2351	brca2 mutation	10
2352	brca2 mutation status	50
2353	bre gfp status	19
2354	break induction on chr iv	29
2355	breast affected	111
2356	breast and ovarian cancer in same person in the family	18
2357	breast cancer	169
2358	breast cancer cell line	13
2359	breast cancer family history	324
2360	breast cancer patient	16
2361	breast cancer patient/heathy donor	44
2362	breast cancer patient id	19
2363	breast cancer recurrence	50
2364	breast cancer stage	62
2365	breast cancer subtype	521
2366	breast cancer subtype pam50	239
2367	breast cancer type	25
2368	breast tumor stage	6
2369	breed	12375
2370	breed/lactation stage	5
2371	breed cattle	225
2372	breed name	93
2373	breed swine	13
2374	breed trait	25
2375	breed type	14
2376	breeed	15
2377	breslow	82
2378	breslow depth	9
2379	breslow mm	50
2380	breslow thickness	80
2381	breslow2mm	35
2382	brg1 levels	42
2383	brief praxis score	21
2384	brix level	9
2385	brnum brain number, indicates unique subjects	676
2386	broad diagnosis	60
2387	bromouridine labeling start	26
2388	bromouridine labeling time	26
2389	bronch status	165
2390	bronchial/gi carcinoid	75
2391	bronchial brushings, current smoker, gender	9
2392	bronchial brushings, former smoker, gender	13
2393	bronchial brushings, never smoker, gender	5
2394	bronchial location	32
2395	bronchioloalveolar content 0 'no',1 'yes'	118
2396	bronchioloalveolar content 0 no, 1 yes	118
2397	bronchodilator response	174
2398	bronchopulmonary dysplasia bpd group	300
2399	broodstock group	65
2400	brownpsychological	203
2401	brownsocial	203
2402	bru immunoprecipitation	8
2403	bru labeling time	31
2404	brucella melitensis 16m babr mutant strain od600nm	2
2405	brucella melitensis 16m vjbr mutant strain od600nm	2
2406	bs conversion c1	786
2407	bs conversion c2	786
2408	bsa	28
2409	bsa source	23
2410	bsc	218
2411	bsm020	208
2412	bsm030	208
2413	bsm040	208
2414	bt474 human breast cancer cells organ	4
2415	btic	41
2416	btic culture	73
2417	bubr1 allele	7
2418	buds	10
2419	buffer	104
2420	buffy coat	27
2421	bulk dna/cell pool wga/single cell wga	85
2422	bulk or sorted	21
2423	bulk population	26
2424	bun	33
2425	bun mmol/l	38
2426	burst count	174
2427	bv hsvtk purification method	11
2428	bv6 response	25
2429	bw	51
2430	bw/ga	39
2431	bw body weight	17
2432	bw body weight in g	81
2433	bxd strain	101
2434	bxgg1	105
2435	bxgg2	105
2436	bxggs	105
2437	bxh10 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2438	bxh14 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2439	bxh19 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2440	bxh2 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2441	bxh4 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2442	bxh6 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2443	bxh7 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2444	bxh8 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2445	bxh9 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2446	bxhf1 mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2447	by4741 strain control mrna	2
2448	c	28
2449	c/ebpsigma quartile	87
2450	c immitis infection susceptibility	9
2451	c jejuni susceptibility	29
2452	c kit	239
2453	c local treatment	33
2454	c myb expression	29
2455	c myc copy number	22
2456	c myc depletion	6
2457	c myc level	13
2458	c peptide ng/ml	24
2459	c section y/n	10
2460	c sex all	485
2461	c source	88
2462	c source conc	19
2463	c stage	33
2464	c systemic treatment	33
2465	c trachomatis strain	29
2466	c1 chip	1609
2467	c1 chip id	467
2468	c1 ifc	322
2469	c1captureannotation	221
2470	c1capturesite	221
2471	c1plateid	221
2472	c2c12 cell line tissue	9
2473	c2c12 myod silenced cells	8
2474	c3	1011
2475	c3 c3h/hej mouse strain jackson lab gender male, age 8 weeks, n 1, of tissue 1 tissue	3
2476	c3h pde6b, male, brain, rna pool including mouse id	13
2477	c3h pde6b, male, eye, rna pool including mouse id	13
2478	c3h pde6b, male, heart, rna pool including mouse id	9
2479	c3h, male, brain, age	11
2480	c3h, male, liver, age	11
2481	c3h, male, spleen, age	10
2482	c3h, male, thymus, age	11
2483	c4	1006
2484	c5	74
2485	c57b/6 strain, age	12
2486	c57bl/6 mice, gender	5
2487	c57bl/6, age	7
2488	c57bl/6, gender	43
2489	c57bl/6j mouse strain jackson lab gender male, age 2 months, n 1, of tissue 1 tissue	5
2490	c57bl/6j mouse strain jackson lab gender unknown, age 2 weeks, n 1, of tissue 1 tissue	12
2491	c57bl/6j mouse strain nia gender male, age 18 months, n 1, of tissue 1 tissue	5
2492	c57bl/6j mouse strain nia gender male, age 26 months, n 1, of tissue 1 tissue	5
2493	ca	33
2494	ca 125 coefficient	70
2495	ca 19 9	9
2496	ca blockers	98
2497	ca sensitivity	55
2498	ca04 or pbs treatment	49
2499	ca125	521
2500	ca19 9	49
2501	ca199	201
2502	cachectic cancer cells	8
2503	cachectic conditioned media	8
2504	cachexia status	77
2505	caco 2	13
2506	caco2 growth properties	5
2507	cactus host treatment	37
2508	cad	413
2509	cad disease status	103
2510	cadaver donor	3
2511	cadaver donor id	11
2512	cadi	223
2513	cadi score	121
2514	caeca colonization logcfu/g	41
2515	caecal colonization level	29
2516	cafe au lait macules number	26
2517	cag	42
2518	cag length	14
2519	cag repeat	14
2520	cag repeat size	65
2521	cag repeats	125
2522	caga presence	49
2523	cage	639
2524	cage number	229
2525	cage status	65
2526	calcineurin gene cnb1 deleted	11
2527	calcium	119
2528	calcium concentration	20
2529	calcium level	23
2530	calculated viral set point	233
2531	calf number	8
2532	call rate	321
2533	callus	2
2534	calprotectin	131
2535	calr status	106
2536	camp subject id	174
2537	camptothecin exposure time	10
2538	cancer	251
2539	cancer 0 no, 1 yes	61
2540	cancer ca benign b	90
2541	cancer cell type	18
2542	cancer cells isolated from	7
2543	cancer death	92
2544	cancer grade	64
2545	cancer histopathological examination hpe	50
2546	cancer history	14
2547	cancer hpe	41
2548	cancer nuclear grade	65
2549	cancer or control with number	40
2550	cancer or normal	71
2551	cancer patient	113
2552	cancer percent	282
2553	cancer progression	45
2554	cancer site	542
2555	cancer specific survival	169
2556	cancer stage	472
2557	cancer status	417
2558	cancer stem cell population	31
2559	cancer stem cells property	3
2560	cancer sub type	88
2561	cancer subtype	705
2562	cancer treatment	13
2563	cancer type	1610
2564	cancer type abbrevation	379
2565	cancer type icd 10	423
2566	cancer yes no	681
2567	cancersite	1230
2568	candida strain	58
2569	candida strain background	24
2570	canes	10
2571	cantibody vendor/catalog	3
2572	capacity to bolt	15
2573	capi3k sham	9
2574	capillary density	6
2575	capsular effraction lnm	93
2576	capsule	96
2577	capsule infiltration	57
2578	capsule phenotype	10
2579	capture oligo	67
2580	capture oligos	28
2581	capture technique	10
2582	capturing system	25
2583	car	62
2584	car transduction status	31
2585	carbohydrate	117
2586	carbohydrate source	26
2587	carbon/energy source	7
2588	carbon and nitrogen levels	49
2589	carbon dioxide produced before cell collection g/l	13
2590	carbon source	866
2591	carbon source concentration	47
2592	carbon source substrate	9
2593	carbonate conc	10
2594	carbonsource	31
2595	carcass weight	103
2596	carcinogen	66
2597	carcinoid syndrome	20
2598	carcinoid type	14
2599	carcinoma percentage	99
2600	carcinoma subtype	27
2601	carcinoma type	147
2602	carcinomatoma atcc no	2
2603	carcinosarcoma status	15
2604	card11	139
2605	cardiac phenotype	9
2606	cardiac toxicity models	10
2607	cardiac weight index	17
2608	cardiacindex	7
2609	cardiacoutput	7
2610	cardioglycoside treatment	13
2611	cardiovascular disease state	99
2612	cardiovascular failure	84
2613	carmustine sensitivity	25
2614	carnegie stage	19
2615	carrier	14
2616	carrier solution	24
2617	carrier species	383
2618	carries brca mutation	324
2619	cartridge	2443
2620	caryonide	79
2621	cas number	55
2622	case	675
2623	case/control	527
2624	case/control pair	495
2625	case/control status	24
2626	case control 0 case, 1 control	56
2627	case control group	1193
2628	case control status	722
2629	case diagnosis	10
2630	case gc is for germinal center ngc is for none germinal center	83
2631	case history	153
2632	case id	5457
2633	case identifier	49
2634	case number	155
2635	case or control	52
2636	case status	214
2637	caseid	22
2638	casenote review date	228
2639	casp3 module tertile	121
2640	caste	629
2641	castelow	255
2642	castrate/intact	25
2643	castrate sensitivity	7
2644	castrated	46
2645	castration status	49
2646	castration surgery	10
2647	casue of death	2
2648	cat	154
2649	catalog	1361
2650	catalog/batch number	5
2651	catalog/lot	35
2652	catalog/vendor	3
2653	catalog no	6
2654	catalog number	322
2655	catalog numbers	10
2656	catalogue	25
2657	catalogue number	36
2658	cataog number	9
2659	category	971
2660	category 0 normal, 1 hpv without progression, 2 hpv with progression	42
2661	catelog number	140
2662	catfish type	19
2663	catolog number	21
2664	cattle breed	90
2665	caucasian	120
2666	cause of death	3563
2667	causes hf	111
2668	causing	21
2669	cb	13
2670	cbh2 copies	25
2671	cc	97
2672	cca type ov or non ov	41
2673	ccl4 administration	30
2674	cd evolution time years	42
2675	cd level	3
2676	cd status	222
2677	cd10	47
2678	cd10 expr	224
2679	cd10 in human	11
2680	cd117 staining	5
2681	cd13	31
2682	cd13 in human	11
2683	cd133	68
2684	cd133 expression	7
2685	cd133 status	5
2686	cd14	3978
2687	cd14 microbead purification	50
2688	cd146 and pdgfrb expression	16
2689	cd16	2567
2690	cd161 subtype	10
2691	cd163 expression	7
2692	cd19	1568
2693	cd19 in human	11
2694	cd1a	21
2695	cd20	7
2696	cd20 expr	224
2697	cd20 immunohistochemistry	82
2698	cd20 in human	11
2699	cd22 in human	11
2700	cd24	33
2701	cd24 cd44	28
2702	cd24 expression	7
2703	cd24hi facs	11
2704	cd25	229
2705	cd25 expression	16
2706	cd25 pos 5, neg 5	424
2707	cd27	19
2708	cd3	21
2709	cd3 cd56 cd16	47
2710	cd3 immunohistochemistry	82
2711	cd3 nk1 1 cd117 nk cells compared to cd3 nk1 1 cd117 nk cells from spleen strain	7
2712	cd3, cxcr3, cd4	68
2713	cd3, cxcr3, cd8	68
2714	cd33 in human	11
2715	cd34	23
2716	cd34 in human	11
2717	cd34 status	78
2718	cd38	142
2719	cd38 status	101
2720	cd39 expression	16
2721	cd39 status	16
2722	cd3alphabeta	47
2723	cd3cd4	47
2724	cd3cd8	47
2725	cd3d	1521
2726	cd3delta1	47
2727	cd3delta2	47
2728	cd3e	1346
2729	cd3gammadelta	47
2730	cd3tcellabscount	121
2731	cd3tcellperc	121
2732	cd4	1736
2733	cd4/cd8	83
2734	cd4 ccr7 cd45	47
2735	cd4 cd25 post sort	7
2736	cd4 cd25hi post sort	6
2737	cd4 cd62l cd45	47
2738	cd4 count	282
2739	cd4 expression	16
2740	cd4 naive	694
2741	cd4 response to antigens	10
2742	cd4 single positive sp thymocyte subset	13
2743	cd4 status	17
2744	cd4 t	47
2745	cd4 t cell	19
2746	cd4 t cell clone	18
2747	cd4 t cell count	22
2748	cd4 t cell count measurement	73
2749	cd4 t cell count, cells/ul	73
2750	cd4 t cell line	7
2751	cd4 t cell proportion	86
2752	cd4 t cells	678
2753	cd4 t cells from ot 2 mice day	4
2754	cd4 tcells	102
2755	cd44 transfected	7
2756	cd44hi facs	11
2757	cd44v8 10 expression	5
2758	cd45	9
2759	cd45 in human	11
2760	cd45ro expression	16
2761	cd49f	33
2762	cd4cd25cd62l	47
2763	cd4cd62l cd45	47
2764	cd4cd8 ab dn	47
2765	cd4cre full strain name	19
2766	cd4foxp3	47
2767	cd4low	112
2768	cd4t	647
2769	cd4t cell proportion	185
2770	cd4tcellabscount	121
2771	cd4tcellperc	121
2772	cd5	138
2773	cd5 expr	224
2774	cd57 status of nk cell	7
2775	cd66 expression	5
2776	cd68 expression	68
2777	cd68 hpf	24
2778	cd73 status	32
2779	cd8	21
2780	cd8 cd28	47
2781	cd8 cd62l cd45	47
2782	cd8 naive	694
2783	cd8 t cell	66
2784	cd8 t cell effector type	18
2785	cd8 t cell genotype	12
2786	cd8 t cell proportion	86
2787	cd8 t cell subset	25
2788	cd8 t cell subsets	32
2789	cd8 t cell type	9
2790	cd8 t cells	796
2791	cd8a	1521
2792	cd8ccr7 cd45	47
2793	cd8cd62l cd45	47
2794	cd8pcd28ncd45ran	694
2795	cd8t	647
2796	cd8t cell proportion	185
2797	cd8tcellabscount	121
2798	cd8tcellperc	121
2799	cd98 fraction	9
2800	cdai	100
2801	cdc20 allele	7
2802	cdeis	23
2803	cdh1 genotype	5
2804	cdh1 mutation	271
2805	cdh1 mutations	5
2806	cdk activity	49
2807	cdk2 shrna expression	17
2808	cdkn2a	13
2809	cdkn2a acgh	51
2810	cdkn2a hd homozygous deletion, germline	82
2811	cdkn2a methylation	81
2812	cdkn2a mutation	271
2813	cdkn2a status	25
2814	cdna amplification kit	17
2815	cdna batch	65
2816	cdna clones	19
